,title,anime_id,type,source,episodes,status,airing,duration,rating,score,scored_by,rank,popularity,members,favorites,licensor,0,Action,Adventure,Cars,Comedy,Dementia,Demons,Drama,Ecchi,Fantasy,Game,Harem,Hentai,Historical,Horror,Josei,Kids,Magic,Martial Arts,Mecha,Military,Music,Mystery,Parody,Police,Psychological,Romance,Samurai,School,Sci-Fi,Seinen,Shoujo,Shoujo Ai,Shounen,Shounen Ai,Slice of Life,Space,Sports,Super Power,Supernatural,Thriller,Vampire,Yaoi,Yuri,year
21,Gakuen Alice,74,6,13,26,2,1,25.0,5,7.77,33244,941.0,1291,62951,1403,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2004
22,Skip Beat!,4722,6,13,25,2,1,24.0,6,8.24,90699,282.0,488,164738,4668,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2008
23,Chihayafuru 2,14397,6,13,25,2,1,22.0,6,8.47,62720,116.0,757,114340,1116,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2013
24,Shounen Onmyouji,1557,6,10,26,2,1,23.0,6,7.68,14619,1158.0,1793,39422,274,3,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2006
25,Chihayafuru,10800,6,13,25,2,1,22.0,6,8.29,89081,246.0,348,213902,4524,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2011
26,Itazura na Kiss,3731,6,13,25,2,1,24.0,6,7.7,91187,1108.0,473,170224,2632,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2008
27,Beelzebub,9513,6,13,60,2,1,24.0,6,8.02,136105,528.0,208,302082,3785,3,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2011
28,Hanasakeru Seishounen,5835,6,13,39,2,1,24.0,6,7.87,16772,753.0,1654,44633,500,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2009
29,SKET Dance,9863,6,13,77,2,1,24.0,6,8.33,44132,213.0,646,130264,2474,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2011
30,B-gata H-kei,7817,6,6,12,2,1,24.0,1,7.1,142827,3193.0,285,244791,1641,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2010
31,Crayon Shin-chan,966,6,13,12,1,0,21.0,4,7.73,17683,1032.0,1937,34788,600,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1992
32,Fruits Basket,120,6,13,26,2,1,24.0,6,7.77,167968,939.0,222,292572,7579,3,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2001
33,Saiunkoku Monogatari,957,6,10,39,2,1,25.0,6,8.04,23467,512.0,1313,61739,1059,3,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006
34,One Piece,21,6,13,12,1,0,24.0,6,8.54,423868,91.0,35,720133,69760,1,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1999
35,Glass no Kamen (2005),1974,6,13,51,2,1,25.0,5,8.18,7348,333.0,2523,22123,365,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2005
36,Air Gear,857,6,13,25,2,1,24.0,1,7.64,126326,1233.0,297,235764,3254,2,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2006
37,Saiunkoku Monogatari 2nd Season,1914,6,10,39,2,1,25.0,6,8.16,11924,362.0,2233,27481,201,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007
38,InuYasha,249,6,13,167,2,1,24.0,6,7.9,181978,697.0,141,371313,12282,3,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2000
39,Chu-Bra!!,6645,6,13,12,2,1,24.0,6,6.3,16688,6380.0,1858,37256,48,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2010
40,Nodame Cantabile Finale,5690,6,13,11,2,1,22.0,6,8.34,47983,203.0,995,84808,381,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010
41,Ghost Hunt,1571,6,8,25,2,1,25.0,6,7.92,69224,656.0,527,152490,2579,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2006
42,Accel World,11759,6,10,24,2,1,24.0,6,7.53,236083,1545.0,103,433343,3680,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012
43,Bakuman.,7674,6,13,25,2,1,24.0,6,8.32,167429,216.0,172,332666,6846,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2010
44,Nodame Cantabile,1698,6,13,23,2,1,22.0,6,8.41,87363,163.0,381,198927,4443,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2007
45,Kamisama Hajimemashita,14713,6,13,13,2,1,24.0,6,8.14,138954,383.0,259,266342,6387,3,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2012
46,Cardcaptor Sakura,232,6,13,70,2,1,25.0,4,8.21,121898,297.0,292,237669,9453,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1998
47,Daa! Daa! Daa!,233,6,13,78,2,1,25.0,5,7.78,6598,919.0,3045,15211,216,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2000
48,Kimi ni Todoke 2nd Season,9656,6,13,12,2,1,23.0,6,8.12,133548,412.0,322,224494,1117,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2011
49,Sekaiichi Hatsukoi,9926,6,13,12,2,1,23.0,6,8.07,69250,469.0,701,121752,2908,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2011
50,Code-E,2564,6,14,12,2,1,24.0,5,6.49,5866,5635.0,3214,13818,18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2007
51,Junjou Romantica,3092,6,13,12,2,1,24.0,6,7.99,86423,568.0,568,146369,4707,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2008
52,Kiniro no Corda: Primo Passo,1579,6,12,25,2,1,24.0,6,7.63,36820,1273.0,1138,72255,1126,3,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2006
53,D.Gray-man Hallow,32370,6,13,13,2,1,24.0,2,7.92,40618,655.0,795,108764,825,3,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2016
54,Sengoku☆Paradise Kiwami,11547,6,15,26,2,1,3.0,6,6.2,609,6763.0,5316,3989,2,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2011
55,Peace Maker Kurogane Movie 1: Omou Michi,33185,4,13,1,0,1,25.523345765989777,2,0.0,0,0.0,5215,4210,6,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
56,Boku wa Kuma,7518,1,14,1,2,1,2.0,5,5.79,690,7814.0,8069,1111,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
57,Ane Koi: Suki Kirai Daisuki.,16642,5,13,2,2,1,26.0,3,7.03,2355,0.0,4667,5600,37,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,Parasol Henbei,7605,6,15,200,2,1,10.0,4,6.39,94,6043.0,10418,309,2,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1989
59,Ginga Hyouryuu Vifam: Kieta 12-nin,9389,5,15,1,2,1,57.0,5,6.29,102,6435.0,10547,285,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
60,Super Danganronpa 2.5: Komaeda Nagito to Sekai no Hakaimono,34152,5,14,1,2,1,25.0,2,7.4,15423,2049.0,2044,31844,276,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,Chuuhai Lemon: Love 30s - Ame ni Nurete mo,9998,5,15,1,2,1,44.0,6,6.0,28,9895.0,11667,165,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,Juuni Kokuki,153,6,8,45,2,1,25.0,6,8.13,28791,399.0,1016,82925,1907,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2002
63,Diabolik Lovers OVA,27417,5,12,1,2,1,11.0,6,6.04,9290,7260.0,2721,19268,64,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
64,Ko Ko Ro,5588,5,15,2,2,1,30.0,3,5.34,100,0.0,9817,423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Tuzki: Love Assassin,23903,2,15,1,2,1,2.0,2,5.87,237,7654.0,9602,482,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,Lupin III: Lupin Ikka Seizoroi,13247,3,15,1,2,1,10.0,6,6.87,676,4041.0,6950,1926,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,Neko Konogoro,33398,6,13,12,1,0,1.0,0,3.44,18,11426.0,10123,361,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
68,Ao no 6-gou,1051,5,13,4,2,1,32.0,6,7.14,16149,3026.0,1950,34469,184,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,Ben-To Picture Drama,12447,3,10,6,2,1,9.0,6,6.15,2806,6924.0,3977,8265,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,Gasshin Sentai Mechander Robo,3294,6,15,35,2,1,23.0,6,6.17,79,6851.0,9869,412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1977
71,Seikai no Monshou Special,1381,3,10,1,2,1,90.0,6,7.35,1050,2254.0,6165,2758,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
72,Tegamibachi Gakuen,8022,3,14,25,2,1,3.0,6,7.42,1911,1953.0,4119,7644,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,Oniku Daisuki! Zeushi-kun: Suteki na Hamburger,32666,2,14,1,2,1,4.0,5,4.32,22,11629.0,12944,102,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,Soul Buster,33775,6,13,12,2,1,13.0,6,5.91,4687,7553.0,2963,16223,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
75,Mobile Suit Gundam: Zeonic Front - Indignation of Zeon.,20667,3,15,1,2,1,10.0,6,5.86,315,7674.0,8025,1143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,Karakuri Circus,37447,6,13,36,0,1,25.523345765989777,0,5.8152,0,0.0,8300,986,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
77,Nanumu no Ie,35277,4,9,1,2,1,96.0,4,4.86,7,11408.0,13987,49,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,Death Billiards,14353,4,14,1,2,1,25.0,2,8.01,81162,542.0,637,132203,226,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
79,Fake Style II,32747,1,7,1,2,1,3.0,4,5.85,103,7689.0,11594,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,Live On Cardliver Kakeru,5235,6,13,51,2,1,23.0,4,6.86,97,4074.0,9003,673,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008
81,Gegege no Kitarou: Saikyou Youkai Gundan! Nippon Jouriku!!,8154,4,15,1,2,1,49.0,5,6.17,60,6853.0,10204,342,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
82,Kokudo Oh,5117,5,12,5,2,1,30.0,3,6.08,275,0.0,8277,994,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,Triage X,26443,6,13,10,2,1,23.0,1,6.41,34990,5978.0,1025,81824,158,3,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2015
84,Shinkai no Kantai: Submarine 707,16251,5,13,1,2,1,46.0,0,5.73,120,7936.0,9879,412,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,Densha Kamo Shirenai,6777,1,7,1,2,1,4.0,5,5.62,395,8152.0,9124,632,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,Ylion to Callysia,35594,4,14,1,2,1,8.0,0,5.86,7,12762.0,10399,313,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,Nanatsu no Bitoku,36847,6,9,10,2,1,5.0,1,5.2,4722,8835.0,2533,22001,47,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018
88,Metropolis (2009),29765,4,15,1,2,1,4.0,5,6.26,129,6552.0,9665,467,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,Hai to Gensou no Grimgar Special,32561,3,10,1,2,1,11.0,6,6.65,16293,4965.0,2146,29209,29,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,Medamayaki no Kimi Itsu Tsubusu?,24275,3,13,4,2,1,18.0,5,5.92,161,7526.0,8668,811,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,Watashi no Ashinaga Ojisan Specials,29363,3,15,2,2,1,45.0,5,6.41,37,12656.0,11258,199,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
